doc
crc aided learn ensemble belief propagation polar decoder polar code promise error correction capability decode polar code challenge particularly large block recently propose decoder base list decode neural decoding apply multiple decoder decoder multiple time redundancy family utilize emerge deep learning scheme learn decode datum work introduce novel polar decoder combine list decode neural decode form ensemble multiple weight belief propagation wbp decoder train decode different datum employ cyclic redundancy check crc code proxy combine ensemble decoder select likely decode word inference facilitate real time decoding evaluate scheme wide range polar code length empirically show gain frame error rate achieve provide complexity latency analysis show number operation require approach single bp decoder high signal noise ratio
polar reed muller code technique improve finite length performance explore relationship polar rm code describe cod scheme improve performance standard polar code practical block length starting point experimental observation rm code small error probability polar code map decode motivate introduce family code interpolate rm polar code family inter original polar code rm code base numerical observation remark error probability map decode increase function map decode general exponential complexity empirically performance polar code finite block length boost move family low complexity decode scheme instance belief propagation successive cancellation list decoder demonstrate performance gain numerical simulation transmission erasure channel gaussian channel
performance comparison short length error correct code compare performance short length linear binary code binary erasure channel binary input gaussian channel use universal decoder decode linear binary block code gaussian elimination base maximum likelihood decoder erasure channel probabilistic order statistic decoder gaussian channel compare code decoder word error rate versus channel parameter find ldpc reed muller polar bch code length bit bch code outperform code absence cyclic redundancy check joint decoding concatenation cyclic redundancy check make code perform close optimal low bound
