Id,Label,PageRank,InDegree,OutDegree,Community,Url
622212,hep-th/9606017,33.208630211995725,135,15,658293,https://arxiv.org/abs/hep-th/9606017
273216,astro-ph/0302213,33.130689184493704,259,4,748379,https://arxiv.org/abs/astro-ph/0302213
965532,math/9506012,30.945282660252502,65,0,543624,https://arxiv.org/abs/math/9506012
940956,math/0211065,244.43044385421018,3,0,723276,https://arxiv.org/abs/math/0211065
832068,hep-ph/9612313,32.38921353166602,251,2,197724,https://arxiv.org/abs/hep-ph/9612313
766788,hep-th/9202020,35.190099692196824,12,0,825438,https://arxiv.org/abs/hep-th/9202020
516216,astro-ph/9908168,45.03373322350259,609,2,246082,https://arxiv.org/abs/astro-ph/9908168
433140,cs/0607105,50.97569147708773,58,6,945607,https://arxiv.org/abs/cs/0607105
355644,1603.01533,48.03550022836146,29,2,112061,https://arxiv.org/abs/1603.01533
12,q-alg/9709040,185.30789587036395,773,6,835092,https://arxiv.org/abs/q-alg/9709040
36606,hep-th/9502072,127.09208086663998,183,15,658293,https://arxiv.org/abs/hep-th/9502072
99906,hep-th/9610236,37.4551153513023,119,7,281673,https://arxiv.org/abs/hep-th/9610236
775392,hep-th/9605009,37.21898684955891,148,18,644835,https://arxiv.org/abs/hep-th/9605009
385014,1409.2329,98.8458663952655,399,11,843965,https://arxiv.org/abs/1409.2329
252912,1405.0312,71.24624246720055,172,0,697359,https://arxiv.org/abs/1405.0312
406500,hep-th/9411048,102.18953069550119,300,3,80094,https://arxiv.org/abs/hep-th/9411048
180642,astro-ph/0012376,40.707491597990554,313,6,246082,https://arxiv.org/abs/astro-ph/0012376
240834,hep-th/9709220,40.96872415008425,268,32,281673,https://arxiv.org/abs/hep-th/9709220
526692,hep-lat/9503018,49.93455858210818,9,2,371033,https://arxiv.org/abs/hep-lat/9503018
789840,hep-th/9504027,147.45232548171717,126,19,658293,https://arxiv.org/abs/hep-th/9504027
495162,hep-th/9401139,209.70296686801115,462,11,83055,https://arxiv.org/abs/hep-th/9401139
959484,hep-ph/0508110,38.07710391356461,346,3,322217,https://arxiv.org/abs/hep-ph/0508110
62322,hep-th/9809124,57.517808568893805,213,13,677654,https://arxiv.org/abs/hep-th/9809124
290490,hep-ph/9703303,32.143504598869924,21,1,217489,https://arxiv.org/abs/hep-ph/9703303
507966,hep-th/9711162,96.68463287120069,1065,17,271284,https://arxiv.org/abs/hep-th/9711162
719970,hep-th/9607201,50.81005831584777,379,70,658293,https://arxiv.org/abs/hep-th/9607201
290808,1312.5602,67.79317210752926,456,0,933208,https://arxiv.org/abs/1312.5602
516390,hep-th/9407111,234.67293285666634,43,5,658293,https://arxiv.org/abs/hep-th/9407111
932160,hep-ph/9503280,100.96168654354955,167,0,66367,https://arxiv.org/abs/hep-ph/9503280
240396,astro-ph/0207156,290.0934699341966,925,0,450604,https://arxiv.org/abs/astro-ph/0207156
353916,hep-th/9406196,38.526162005666734,22,1,634024,https://arxiv.org/abs/hep-th/9406196
475002,astro-ph/9809043,38.344044546902495,35,13,12886,https://arxiv.org/abs/astro-ph/9809043
67884,astro-ph/9708036,65.19401509143242,46,10,139048,https://arxiv.org/abs/astro-ph/9708036
818358,quant-ph/9712048,41.579406412954455,147,17,80157,https://arxiv.org/abs/quant-ph/9712048
777114,gr-qc/9312002,52.49540281956635,74,0,644835,https://arxiv.org/abs/gr-qc/9312002
549876,hep-ph/9701231,34.250526032993434,130,5,67686,https://arxiv.org/abs/hep-ph/9701231
589242,1509.02971,66.9902973846408,452,8,933208,https://arxiv.org/abs/1509.02971
827256,hep-th/9512219,68.79598825288572,193,16,658293,https://arxiv.org/abs/hep-th/9512219
347166,1107.2490,207.01567918238354,27,0,697359,https://arxiv.org/abs/1107.2490
712584,hep-th/9308122,35.79956034549608,178,1,658293,https://arxiv.org/abs/hep-th/9308122
711036,0804.2509,47.09933009181027,202,8,80121,https://arxiv.org/abs/0804.2509
806466,0804.1036,32.68707315771831,22,1,66152,https://arxiv.org/abs/0804.1036
293406,hep-th/9601177,32.97626964623401,159,44,259100,https://arxiv.org/abs/hep-th/9601177
650196,astro-ph/9805201,131.19115417559945,2645,2,246082,https://arxiv.org/abs/astro-ph/9805201
219120,hep-ph/9807513,36.19533514671774,300,8,590098,https://arxiv.org/abs/hep-ph/9807513
731658,quant-ph/9605043,131.06278991951277,251,3,336545,https://arxiv.org/abs/quant-ph/9605043
200148,hep-ph/9309299,36.56360280771028,209,0,713694,https://arxiv.org/abs/hep-ph/9309299
949620,0904.3523,31.85463976039182,35,5,370710,https://arxiv.org/abs/0904.3523
76878,1410.4615,39.014558102359,115,11,843965,https://arxiv.org/abs/1410.4615
301008,hep-ph/9811350,43.01592326066598,415,21,799393,https://arxiv.org/abs/hep-ph/9811350
949596,hep-th/9510134,30.632903440609606,100,27,259100,https://arxiv.org/abs/hep-th/9510134
230550,hep-ph/9807278,41.44250171157272,860,51,226631,https://arxiv.org/abs/hep-ph/9807278
158850,astro-ph/0306213,87.31847471805344,376,4,40708,https://arxiv.org/abs/astro-ph/0306213
577224,hep-th/9308139,340.25359853068824,117,3,707647,https://arxiv.org/abs/hep-th/9308139
217818,hep-th/9504047,176.2699929035343,155,21,658293,https://arxiv.org/abs/hep-th/9504047
364248,0801.0287,57.83351460428631,503,88,856149,https://arxiv.org/abs/0801.0287
509826,hep-th/9504081,85.21391660252348,323,5,658293,https://arxiv.org/abs/hep-th/9504081
754098,hep-ex/9711002,49.10886219748604,172,0,197069,https://arxiv.org/abs/hep-ex/9711002
867084,nucl-ex/0106015,31.93567157123041,445,4,197069,https://arxiv.org/abs/nucl-ex/0106015
782394,hep-th/9311120,52.24759492205671,16,1,658293,https://arxiv.org/abs/hep-th/9311120
41202,1406.2199,51.90067213498339,24,3,684374,https://arxiv.org/abs/1406.2199
924732,gr-qc/0401013,34.70505404076856,28,1,798409,https://arxiv.org/abs/gr-qc/0401013
447372,hep-ph/9811291,59.2554977433155,444,23,799393,https://arxiv.org/abs/hep-ph/9811291
337782,hep-th/9603003,55.91644991692613,332,19,658293,https://arxiv.org/abs/hep-th/9603003
561366,astro-ph/0104459,34.92578083423449,198,15,12886,https://arxiv.org/abs/astro-ph/0104459
38796,quant-ph/9602022,79.60426752661373,32,0,348415,https://arxiv.org/abs/quant-ph/9602022
434970,1403.6015,30.57341958863321,80,2,864645,https://arxiv.org/abs/1403.6015
484938,hep-th/9506126,63.579825121575624,246,14,658293,https://arxiv.org/abs/hep-th/9506126
69282,cond-mat/0007360,51.063832937006005,240,4,47966,https://arxiv.org/abs/cond-mat/0007360
380736,nucl-th/9509032,32.025080854103834,96,0,538519,https://arxiv.org/abs/nucl-th/9509032
961542,hep-ph/9807344,96.18086302831601,979,11,513963,https://arxiv.org/abs/hep-ph/9807344
660924,1312.6229,179.41285543862983,380,1,697359,https://arxiv.org/abs/1312.6229
640848,astro-ph/9905116,140.45523148614237,380,0,556956,https://arxiv.org/abs/astro-ph/9905116
663942,hep-th/9507121,178.21279175207735,571,0,658293,https://arxiv.org/abs/hep-th/9507121
924252,hep-th/0106109,37.6389626468402,520,11,906660,https://arxiv.org/abs/hep-th/0106109
814770,hep-ph/0204357,34.536851868159744,181,29,643884,https://arxiv.org/abs/hep-ph/0204357
824622,hep-th/9704005,84.18021362508163,125,4,506615,https://arxiv.org/abs/hep-th/9704005
43242,hep-th/9603061,30.19462730820913,155,36,259100,https://arxiv.org/abs/hep-th/9603061
78162,hep-th/9306069,163.48680109886078,472,0,158248,https://arxiv.org/abs/hep-th/9306069
469668,hep-th/9205027,46.34026702039313,98,0,610437,https://arxiv.org/abs/hep-th/9205027
801366,hep-th/9612115,38.405084305059866,655,2,517884,https://arxiv.org/abs/hep-th/9612115
897156,hep-th/9503121,40.83052763700003,476,2,218682,https://arxiv.org/abs/hep-th/9503121
746628,hep-ph/9504326,40.504171988983,59,1,946271,https://arxiv.org/abs/hep-ph/9504326
906384,1311.2901,274.6225269460252,178,2,697359,https://arxiv.org/abs/1311.2901
80094,hep-th/9503163,39.176100838212605,271,6,80094,https://arxiv.org/abs/hep-th/9503163
600594,hep-th/9505062,36.01975526971972,373,15,80094,https://arxiv.org/abs/hep-th/9505062
670782,hep-th/9906070,34.2778816669693,764,7,430130,https://arxiv.org/abs/hep-th/9906070
157440,hep-th/9712073,46.19319990212307,54,4,506615,https://arxiv.org/abs/hep-th/9712073
693228,hep-th/9605199,33.444542447141814,215,17,658293,https://arxiv.org/abs/hep-th/9605199
