Id,Label,PageRank,InDegree,OutDegree,Community,NeighborCommunities,BridgeScore,Url
456180,math/0301252,25.744542250912044,11,4,698047,0,0.0,https://arxiv.org/abs/math/0301252
2664,0906.4913,22.79476069484049,8,0,236886,0,0.0,https://arxiv.org/abs/0906.4913
86616,hep-ph/9801322,22.979518605088263,29,0,894566,1,22.979518605088263,https://arxiv.org/abs/hep-ph/9801322
878550,hep-ph/9508391,41.8357438454415,156,0,260814,1,41.8357438454415,https://arxiv.org/abs/hep-ph/9508391
99756,math/0409341,23.766071630218605,12,1,675046,1,23.766071630218605,https://arxiv.org/abs/math/0409341
632490,hep-th/9506122,27.377638201511513,152,4,340618,3,82.13291460453453,https://arxiv.org/abs/hep-th/9506122
257490,quant-ph/9605038,51.40963385253659,98,2,830301,3,154.22890155760976,https://arxiv.org/abs/quant-ph/9605038
903282,hep-ph/9409375,29.283570975808143,153,0,226963,1,29.283570975808143,https://arxiv.org/abs/hep-ph/9409375
972342,hep-th/9604156,25.434464409258574,116,30,658293,8,203.4757152740686,https://arxiv.org/abs/hep-th/9604156
673140,hep-ph/0010017,49.58300939135244,478,12,322217,4,198.33203756540976,https://arxiv.org/abs/hep-ph/0010017
731658,quant-ph/9605043,131.06278991951277,251,3,336545,4,524.2511596780511,https://arxiv.org/abs/quant-ph/9605043
456618,1602.02410,25.692384345640008,194,18,843965,2,51.384768691280016,https://arxiv.org/abs/1602.02410
697254,1002.4546,33.2502175629321,163,9,799662,2,66.5004351258642,https://arxiv.org/abs/1002.4546
105960,1207.3885,20.702139313171475,9,2,164,1,20.702139313171475,https://arxiv.org/abs/1207.3885
353916,hep-th/9406196,38.526162005666734,22,1,634024,2,77.05232401133347,https://arxiv.org/abs/hep-th/9406196
516216,astro-ph/9908168,45.03373322350259,609,2,246082,3,135.10119967050775,https://arxiv.org/abs/astro-ph/9908168
262008,hep-th/9706072,25.52166711013599,152,17,281673,4,102.08666844054396,https://arxiv.org/abs/hep-th/9706072
212124,cond-mat/0406440,24.34116982518024,23,7,104883,2,48.68233965036048,https://arxiv.org/abs/cond-mat/0406440
653898,quant-ph/9608006,47.30537020485715,102,23,348415,5,236.52685102428575,https://arxiv.org/abs/quant-ph/9608006
808248,0803.3295,21.774675088365235,761,15,93866,4,87.09870035346094,https://arxiv.org/abs/0803.3295
290490,hep-ph/9703303,32.143504598869924,21,1,217489,2,64.28700919773985,https://arxiv.org/abs/hep-ph/9703303
412068,hep-ph/9811473,20.63003675177024,126,4,67094,1,20.63003675177024,https://arxiv.org/abs/hep-ph/9811473
201702,astro-ph/0112526,24.268537339789674,58,11,246082,1,24.268537339789674,https://arxiv.org/abs/astro-ph/0112526
965532,math/9506012,30.945282660252502,65,0,543624,0,0.0,https://arxiv.org/abs/math/9506012
