Source,Target,Type
953434,570165,Directed
953434,652747,Directed
953434,809936,Directed
956944,80140,Directed
956944,330419,Directed
956944,602762,Directed
956944,769932,Directed
956944,795286,Directed
961542,107392,Directed
961542,908732,Directed
17679,214448,Directed
32910,38796,Directed
33428,188152,Directed
36606,495162,Directed
36606,516390,Directed
36606,570165,Directed
36606,809936,Directed
36606,837286,Directed
39510,164580,Directed
39510,773407,Directed
39510,886147,Directed
39510,963714,Directed
46253,68817,Directed
46253,598763,Directed
46253,687575,Directed
50277,893040,Directed
50277,908732,Directed
50277,961542,Directed
68817,75122,Directed
76099,517600,Directed
76099,682577,Directed
78175,217818,Directed
78175,234571,Directed
78175,953434,Directed
80140,33428,Directed
80140,78175,Directed
80140,339616,Directed
80140,460550,Directed
80140,516390,Directed
80140,623730,Directed
80140,652747,Directed
80140,675871,Directed
80140,760664,Directed
80140,847044,Directed
80140,886143,Directed
80140,917287,Directed
93677,33428,Directed
93677,367748,Directed
93677,394026,Directed
93677,561887,Directed
93677,760664,Directed
93677,772920,Directed
93677,847044,Directed
93677,861535,Directed
93677,886143,Directed
105933,509826,Directed
105933,570165,Directed
105933,652747,Directed
105933,824622,Directed
105933,956944,Directed
107392,243740,Directed
107392,371166,Directed
107392,809936,Directed
108058,172462,Directed
108058,188152,Directed
108058,516390,Directed
108058,861535,Directed
112993,33428,Directed
112993,188152,Directed
112993,466896,Directed
121620,866677,Directed
128386,272006,Directed
128386,411493,Directed
129231,747071,Directed
139663,245747,Directed
139663,969062,Directed
145820,3344,Directed
145820,429223,Directed
148930,718679,Directed
152076,234571,Directed
164407,164580,Directed
164407,421466,Directed
170470,538372,Directed
172462,658402,Directed
182990,716630,Directed
188152,577224,Directed
199391,145820,Directed
214448,940956,Directed
217818,36606,Directed
217818,108058,Directed
217818,516390,Directed
217818,570165,Directed
217818,624049,Directed
217818,723355,Directed
217818,789840,Directed
217818,809936,Directed
234063,80140,Directed
234063,105933,Directed
234063,339616,Directed
234063,361524,Directed
234063,466896,Directed
234063,561887,Directed
234063,570165,Directed
234063,623730,Directed
234063,655211,Directed
234063,662404,Directed
234063,713786,Directed
234063,795286,Directed
234063,886143,Directed
234063,956944,Directed
234571,217818,Directed
234571,652747,Directed
234571,953434,Directed
243740,723355,Directed
243740,809936,Directed
251169,78175,Directed
251169,330419,Directed
251169,695630,Directed
258304,292704,Directed
269137,473193,Directed
299942,846699,Directed
330419,78175,Directed
330419,460550,Directed
330419,466896,Directed
330419,652747,Directed
330419,723355,Directed
339616,367748,Directed
339616,561887,Directed
339616,698186,Directed
339616,760664,Directed
361524,105933,Directed
361524,713786,Directed
361524,795286,Directed
361524,824622,Directed
367748,330419,Directed
367748,516390,Directed
367748,698186,Directed
371166,485511,Directed
371166,880450,Directed
385014,765349,Directed
394026,251169,Directed
394026,330419,Directed
394026,460550,Directed
394026,466896,Directed
394026,570165,Directed
394026,663942,Directed
394026,760416,Directed
394026,760664,Directed
394026,917287,Directed
406500,570165,Directed
406500,809936,Directed
421466,245747,Directed
421466,660924,Directed
429223,245747,Directed
430832,371166,Directed
430832,406500,Directed
460550,217818,Directed
460550,616279,Directed
460550,624049,Directed
460550,789840,Directed
460550,809936,Directed
463517,197939,Directed
469958,80140,Directed
469958,339616,Directed
469958,367748,Directed
469958,495162,Directed
469958,664421,Directed
469958,886143,Directed
469958,956944,Directed
473193,105933,Directed
473193,623730,Directed
473193,824622,Directed
473193,956944,Directed
495162,664421,Directed
509826,652747,Directed
515379,717785,Directed
516390,664421,Directed
516390,723355,Directed
516390,837286,Directed
517600,682577,Directed
543455,866677,Directed
561887,108058,Directed
561887,234571,Directed
561887,466896,Directed
561887,509826,Directed
561887,652747,Directed
566348,604011,Directed
566348,894994,Directed
570165,861535,Directed
577224,805016,Directed
577224,842005,Directed
602762,33428,Directed
602762,251169,Directed
602762,330419,Directed
602762,466896,Directed
602762,655211,Directed
602762,675871,Directed
602762,847044,Directed
602762,886143,Directed
602762,917287,Directed
604011,889264,Directed
616554,105933,Directed
616554,624049,Directed
616554,652747,Directed
616554,663942,Directed
616554,713786,Directed
616554,795286,Directed
622820,33428,Directed
622820,251169,Directed
622820,330419,Directed
622820,466896,Directed
623730,78175,Directed
623730,652747,Directed
623730,760664,Directed
623730,817255,Directed
623730,917287,Directed
624049,172462,Directed
624049,570165,Directed
624049,723355,Directed
624049,809936,Directed
652747,243740,Directed
652747,495162,Directed
652747,837286,Directed
652916,762859,Directed
653288,460550,Directed
653288,466896,Directed
653288,652747,Directed
653288,695630,Directed
653288,762563,Directed
653288,789840,Directed
655211,78162,Directed
655211,188152,Directed
655211,330419,Directed
655211,622820,Directed
655211,698186,Directed
655211,917287,Directed
658225,598763,Directed
660924,245747,Directed
662404,217818,Directed
662404,371166,Directed
662404,406500,Directed
662404,430832,Directed
662404,460550,Directed
662404,570165,Directed
662404,789840,Directed
662404,809936,Directed
664421,390552,Directed
675871,33428,Directed
675871,251169,Directed
675871,330419,Directed
675871,394026,Directed
675871,760664,Directed
675871,772920,Directed
675871,817255,Directed
675871,847044,Directed
675871,917287,Directed
685852,848623,Directed
686503,68817,Directed
686503,464007,Directed
687575,463517,Directed
687575,836203,Directed
695630,460550,Directed
695630,570165,Directed
695630,652747,Directed
695630,769932,Directed
697359,139663,Directed
