doc
new physic tev probe phenomenology uhecr air shower simulation ground base observation appear indicate ultra high energy cosmic ray uhecr high energy ev consist heavy particle shower depth muon production datum point conclusion hand cosmic ray arrival direction energy ev exhibit dipole anisotropy disfavor heavy composition high z nucleus strongly deflect galactic magnetic field suppress anisotropy composition problem uhecr solution existence unknown effect proton interaction center mass cm energie tev alter interaction cross section multiplicity interaction product mimic heavy primary study impact change cosmic ray observable simulation extensive air shower ea order place constrain phenomenology new effect high energy proton interaction probe tev collision simulate shower primary energy range ev corsika code modify implement possible increase cross section multiplicity hadronic collision exceed cm energy threshold tev study composition sensitive shower observable shower depth muon function cross section multiplicity primary energy find order match auger shower depth measurement mean new hadronic collision effect extragalactic uhecr proton high energy cross section proton air interaction mb tev cm energy accompany increase factor secondary particle study muon production shower scenario
test hadronic interaction measurement pierre auger observatory hybrid design pierre auger observatory allow measurement number property extensive air shower initiate ultra high energy cosmic ray compare measurement prediction air shower simulation possible infer cosmic ray mass composition test hadronic interaction energy reach accelerator paper present compilation result air shower measurement pierre auger observatory sensitive property hadronic interaction constrain hadronic interaction model inconsistency find interpretation different observable regard primary composition measurement simulation currently hadronic interaction model provide proper description air shower particular muon production
particle physics tev pierre auger observatory pierre auger observatory argentina provide large data sample cosmic ray event energy ev high energy event test understanding hadronic interaction energy reach collider probe basic property interaction inelastic cross section proton air collision combination array surface detector fluorescence telescope pierre auger observatory reduce significantly dependency shower energy estimation mc simulation despite interpretation mass sensitive quantity shower maximum term chemical composition cosmic ray depend hadronic interaction model contribution describe main result observatory concern chemical composition cosmic ray focus problem muon deficit hadronic interaction model estimation proton air cross section air shower datum
