doc
lie algebra abelian ideal subalgebra paper study maximal dimension abelian subalgebra maximal dimension abelian ideal m dimensional lie algebra algebraically closed field dimension coincide field characteristic zero nilpotent lie algebra prove lie algebra step solvable definition section furthermore precise description lie algebra dimensional derive algebra addition provide classification lie algebra obtain classification lie algebra derive algebra dimension
associate quantum vertex algebra lie algebra paper present canonical association quantum vertex algebra module lie algebra dimensional central extension end construct use closely relate infinite dimensional lie algebra
lie algebra n lie algebra construct lie algebra n lie algebra define notion cohomology n lie algebra
