doc
probe neutrino magnetic moment underground detector artificial neutrino source neutrino electron scattering probe neutrino electromagnetic property low threshold underground detector good angular recoil electron energy resolution propose number artificial neutrino anti neutrino source neutrino flux know percent contrast reactor case reach low neutrino energy source estimate signal expect neutrino magnetic moment comparable expect sm correspond enhancement total number expect event
measure solar neutrino detector experiment large multi purpose neutrino detector currently fill liquid scintillator time single experiment able measure neutrino oscillation parameter simultaneously reactor anti neutrino solar neutrinos approach demonstrate analysis initial day scintillator phase datum bayesian statistical approach markov chain monte carlo allow simultaneous fitting oscillation parameter neutrino flux background component constraint systematic uncertainty neutrino oscillation parameter measure assume current global fit flux solar neutrinos consistent current global fit result sensitivity study show measurement statistic limited precision improve factor year livetime assume background selection
measurement neutrino oscillation parameter muon neutrino disappearance axis beam collaboration report precision measurement muon neutrino disappearance axis neutrino beam peak energy gev near detector measurement constrain neutrino flux cross section parameter super kamiokande far detector km downstream neutrino production target collect datum correspond proton target absence neutrino oscillation syst event expect detect muon neutrino event candidate observe fit neutrino rate energy spectrum assume neutrino flavor normal mass hierarchy yield well fit mixing angle mass split assume well fit mix angle change mass splitting remain unchanged
