run,n_topics,coherence_c_v,topic_diversity,noise_fraction
0,111,0.6736137600506703,0.7171171171171171,0.416684
1,3,0.4941425622163707,0.8666666666666667,0.015024
2,148,0.7132041122535722,0.6959459459459459,0.578624
3,3,0.49489756259339873,0.8666666666666667,0.009192
4,148,0.7051949008957074,0.7128378378378378,0.558056
